Outlook,Temperature,Humidity,Wind,WaterClarity,Time,Play
Âm u,Nóng,Vừa,Không gió,Trong,Khác,Có
Âm u,Nóng,Thấp,Gió nhẹ,Trong,Tối,Có
Âm u,Lạnh,Thấp,Gió nhẹ,Trong,Tối,Có
Mưa nhẹ,Nóng,Vừa,Gió mạnh,Quá đục,Chiều muộn,Không
Mát mẻ,Lạnh,Thấp,Gió nhẹ,Trong,Sáng sớm,Có
Mưa lớn,Nóng,Vừa,Gió nhẹ,Quá đục,Chiều muộn,Không
Mát mẻ,Lạnh,Vừa,Gió mạnh,Trong,Tối,Có
Mát mẻ,Vừa,Vừa,Gió nhẹ,Trong,Sáng sớm,Có
Mưa lớn,Vừa,Cao,Không gió,Quá đục,Sáng sớm,Không
Mát mẻ,Lạnh,Thấp,Gió nhẹ,Hơi đục,Khác,Có
Mưa lớn,Lạnh,Thấp,Gió nhẹ,Quá đục,Sáng sớm,Không
Âm u,Vừa,Cao,Gió nhẹ,Trong,Khác,Có
Nắng gắt,Lạnh,Thấp,Không gió,Hơi đục,Sáng sớm,Có
Mưa lớn,Vừa,Thấp,Gió mạnh,Quá đục,Chiều muộn,Không
Mát mẻ,Nóng,Cao,Không gió,Quá đục,Tối,Không
Mưa nhẹ,Vừa,Thấp,Không gió,Trong,Tối,Có
Âm u,Lạnh,Vừa,Không gió,Quá đục,Sáng sớm,Không
Mưa nhẹ,Lạnh,Thấp,Không gió,Quá đục,Sáng sớm,Không
Mưa nhẹ,Nóng,Thấp,Không gió,Hơi đục,Chiều muộn,Có
Âm u,Lạnh,Vừa,Gió mạnh,Quá đục,Chiều muộn,Không
Mưa nhẹ,Lạnh,Cao,Gió mạnh,Trong,Tối,Không
Mưa nhẹ,Vừa,Thấp,Gió nhẹ,Hơi đục,Tối,Có
Mưa lớn,Nóng,Vừa,Gió mạnh,Hơi đục,Sáng sớm,Không
Mát mẻ,Vừa,Vừa,Không gió,Hơi đục,Sáng sớm,Có
Âm u,Vừa,Cao,Gió mạnh,Hơi đục,Khác,Không
Mát mẻ,Lạnh,Vừa,Không gió,Hơi đục,Tối,Có
Nắng gắt,Nóng,Cao,Không gió,Hơi đục,Tối,Không
Mưa nhẹ,Lạnh,Cao,Không gió,Quá đục,Sáng sớm,Không
Mưa nhẹ,Lạnh,Vừa,Gió nhẹ,Hơi đục,Sáng sớm,Có
Mát mẻ,Vừa,Vừa,Gió nhẹ,Hơi đục,Chiều muộn,Có
Âm u,Lạnh,Cao,Gió mạnh,Trong,Tối,Không
Mưa lớn,Nóng,Cao,Gió nhẹ,Hơi đục,Tối,Không
Âm u,Lạnh,Vừa,Gió nhẹ,Quá đục,Tối,Không
Nắng gắt,Vừa,Cao,Gió nhẹ,Quá đục,Sáng sớm,Không
Mưa lớn,Lạnh,Vừa,Gió nhẹ,Trong,Chiều muộn,Không
Âm u,Vừa,Thấp,Không gió,Hơi đục,Chiều muộn,Có
Mưa lớn,Lạnh,Cao,Gió nhẹ,Quá đục,Tối,Không
Nắng gắt,Lạnh,Vừa,Không gió,Trong,Tối,Có
Mưa nhẹ,Vừa,Vừa,Không gió,Quá đục,Chiều muộn,Không
Mưa lớn,Vừa,Thấp,Gió mạnh,Quá đục,Tối,Không
Nắng gắt,Nóng,Thấp,Không gió,Trong,Sáng sớm,Có
Nắng gắt,Vừa,Cao,Gió nhẹ,Trong,Chiều muộn,Có
Âm u,Lạnh,Vừa,Gió nhẹ,Trong,Khác,Có
Mát mẻ,Lạnh,Cao,Gió mạnh,Trong,Khác,Không
Âm u,Vừa,Thấp,Không gió,Trong,Sáng sớm,Có
Nắng gắt,Lạnh,Thấp,Không gió,Hơi đục,Khác,Có
Mưa lớn,Lạnh,Cao,Gió nhẹ,Hơi đục,Khác,Không
Mát mẻ,Lạnh,Vừa,Gió nhẹ,Trong,Chiều muộn,Có
Nắng gắt,Lạnh,Cao,Gió nhẹ,Hơi đục,Tối,Có
Âm u,Vừa,Cao,Gió mạnh,Quá đục,Sáng sớm,Không
Nắng gắt,Lạnh,Cao,Gió nhẹ,Trong,Chiều muộn,Có
Âm u,Vừa,Vừa,Không gió,Trong,Tối,Có
Mưa lớn,Lạnh,Vừa,Gió nhẹ,Hơi đục,Sáng sớm,Không
Âm u,Vừa,Cao,Gió nhẹ,Trong,Sáng sớm,Có
Nắng gắt,Lạnh,Vừa,Gió nhẹ,Hơi đục,Tối,Có
Mưa nhẹ,Nóng,Vừa,Gió nhẹ,Quá đục,Sáng sớm,Không
Mát mẻ,Vừa,Cao,Không gió,Quá đục,Sáng sớm,Không
Mưa nhẹ,Nóng,Vừa,Gió nhẹ,Hơi đục,Tối,Có
Âm u,Lạnh,Cao,Gió nhẹ,Hơi đục,Chiều muộn,Có
Mát mẻ,Nóng,Thấp,Gió mạnh,Hơi đục,Chiều muộn,Không
Nắng gắt,Nóng,Vừa,Không gió,Trong,Chiều muộn,Có
Âm u,Nóng,Vừa,Không gió,Hơi đục,Khác,Có
Nắng gắt,Vừa,Vừa,Gió mạnh,Hơi đục,Sáng sớm,Không
Mát mẻ,Lạnh,Cao,Gió mạnh,Quá đục,Khác,Không
Mưa nhẹ,Lạnh,Thấp,Gió nhẹ,Quá đục,Tối,Không
